NOM,ways_points,geometry,centroid_x,centroid_y,True color,True color 20cm,structure,texture,couleur,surface(ha),typologie,especes_cultivés,Micro_el,Macro_el,ph,Roche_mère,True_color,True_color_20cm
G3123,"284979.4599999979,714860.7600000018;284979.4599999979,714865.7600000018;284984.4599999979,714865.7600000018;284984.4599999979,714860.7600000018;284979.4599999979,714860.7600000018","POLYGON ((284979.4599999979 714860.7600000018, 284979.4599999979 714865.7600000018, 284984.4599999979 714865.7600000018, 284984.4599999979 714860.7600000018, 284979.4599999979 714860.7600000018))",284981.9599999979,714863.2600000018,,,,,,,,,,,,,,
G3124,"284979.4599999979,714865.7600000018;284979.4599999979,714870.7600000018;284984.4599999979,714870.7600000018;284984.4599999979,714865.7600000018;284979.4599999979,714865.7600000018","POLYGON ((284979.4599999979 714865.7600000018, 284979.4599999979 714870.7600000018, 284984.4599999979 714870.7600000018, 284984.4599999979 714865.7600000018, 284979.4599999979 714865.7600000018))",284981.9599999979,714868.2600000018,,,,,,,,,,,,,,
G3125,"284979.4599999979,714870.7600000018;284979.4599999979,714875.7600000018;284984.4599999979,714875.7600000018;284984.4599999979,714870.7600000018;284979.4599999979,714870.7600000018","POLYGON ((284979.4599999979 714870.7600000018, 284979.4599999979 714875.7600000018, 284984.4599999979 714875.7600000018, 284984.4599999979 714870.7600000018, 284979.4599999979 714870.7600000018))",284981.9599999979,714873.2600000018,,,,,,,,,,,,,,
G3126,"284979.4599999979,714875.7600000018;284979.4599999979,714880.7600000018;284984.4599999979,714880.7600000018;284984.4599999979,714875.7600000018;284979.4599999979,714875.7600000018","POLYGON ((284979.4599999979 714875.7600000018, 284979.4599999979 714880.7600000018, 284984.4599999979 714880.7600000018, 284984.4599999979 714875.7600000018, 284979.4599999979 714875.7600000018))",284981.9599999979,714878.2600000018,,,,,,,,,,,,,,
G3127,"284979.4599999979,714880.7600000018;284979.4599999979,714885.7600000018;284984.4599999979,714885.7600000018;284984.4599999979,714880.7600000018;284979.4599999979,714880.7600000018","POLYGON ((284979.4599999979 714880.7600000018, 284979.4599999979 714885.7600000018, 284984.4599999979 714885.7600000018, 284984.4599999979 714880.7600000018, 284979.4599999979 714880.7600000018))",284981.9599999979,714883.2600000018,,,,,,,,,,,,,,
G3128,"284979.4599999979,714885.7600000018;284979.4599999979,714890.7600000018;284984.4599999979,714890.7600000018;284984.4599999979,714885.7600000018;284979.4599999979,714885.7600000018","POLYGON ((284979.4599999979 714885.7600000018, 284979.4599999979 714890.7600000018, 284984.4599999979 714890.7600000018, 284984.4599999979 714885.7600000018, 284979.4599999979 714885.7600000018))",284981.9599999979,714888.2600000018,,,,,,,,,,,,,,
G3129,"284979.4599999979,714890.7600000018;284979.4599999979,714895.7600000018;284984.4599999979,714895.7600000018;284984.4599999979,714890.7600000018;284979.4599999979,714890.7600000018","POLYGON ((284979.4599999979 714890.7600000018, 284979.4599999979 714895.7600000018, 284984.4599999979 714895.7600000018, 284984.4599999979 714890.7600000018, 284979.4599999979 714890.7600000018))",284981.9599999979,714893.2600000018,,,,,,,,,,,,,,
G3130,"284979.4599999979,714895.7600000018;284979.4599999979,714900.7600000018;284984.4599999979,714900.7600000018;284984.4599999979,714895.7600000018;284979.4599999979,714895.7600000018","POLYGON ((284979.4599999979 714895.7600000018, 284979.4599999979 714900.7600000018, 284984.4599999979 714900.7600000018, 284984.4599999979 714895.7600000018, 284979.4599999979 714895.7600000018))",284981.9599999979,714898.2600000018,,,,,,,,,,,,,,
G3131,"284979.4599999979,714900.7600000018;284979.4599999979,714905.7600000018;284984.4599999979,714905.7600000018;284984.4599999979,714900.7600000018;284979.4599999979,714900.7600000018","POLYGON ((284979.4599999979 714900.7600000018, 284979.4599999979 714905.7600000018, 284984.4599999979 714905.7600000018, 284984.4599999979 714900.7600000018, 284979.4599999979 714900.7600000018))",284981.9599999979,714903.2600000018,,,,,,,,,,,,,,
G3132,"284979.4599999979,714905.7600000018;284979.4599999979,714910.7600000018;284984.4599999979,714910.7600000018;284984.4599999979,714905.7600000018;284979.4599999979,714905.7600000018","POLYGON ((284979.4599999979 714905.7600000018, 284979.4599999979 714910.7600000018, 284984.4599999979 714910.7600000018, 284984.4599999979 714905.7600000018, 284979.4599999979 714905.7600000018))",284981.9599999979,714908.2600000018,,,,,,,,,,,,,,
G3133,"284979.4599999979,714910.7600000018;284979.4599999979,714915.7600000018;284984.4599999979,714915.7600000018;284984.4599999979,714910.7600000018;284979.4599999979,714910.7600000018","POLYGON ((284979.4599999979 714910.7600000018, 284979.4599999979 714915.7600000018, 284984.4599999979 714915.7600000018, 284984.4599999979 714910.7600000018, 284979.4599999979 714910.7600000018))",284981.9599999979,714913.2600000018,,,,,,,,,,,,,,
G3134,"284979.4599999979,714915.7600000018;284979.4599999979,714920.7600000018;284984.4599999979,714920.7600000018;284984.4599999979,714915.7600000018;284979.4599999979,714915.7600000018","POLYGON ((284979.4599999979 714915.7600000018, 284979.4599999979 714920.7600000018, 284984.4599999979 714920.7600000018, 284984.4599999979 714915.7600000018, 284979.4599999979 714915.7600000018))",284981.9599999979,714918.2600000018,,,,,,,,,,,,,,
G3135,"284979.4599999979,714920.7600000018;284979.4599999979,714925.7600000018;284984.4599999979,714925.7600000018;284984.4599999979,714920.7600000018;284979.4599999979,714920.7600000018","POLYGON ((284979.4599999979 714920.7600000018, 284979.4599999979 714925.7600000018, 284984.4599999979 714925.7600000018, 284984.4599999979 714920.7600000018, 284979.4599999979 714920.7600000018))",284981.9599999979,714923.2600000018,,,,,,,,,,,,,,
G3136,"284979.4599999979,714925.7600000018;284979.4599999979,714930.7600000018;284984.4599999979,714930.7600000018;284984.4599999979,714925.7600000018;284979.4599999979,714925.7600000018","POLYGON ((284979.4599999979 714925.7600000018, 284979.4599999979 714930.7600000018, 284984.4599999979 714930.7600000018, 284984.4599999979 714925.7600000018, 284979.4599999979 714925.7600000018))",284981.9599999979,714928.2600000018,,,,,,,,,,,,,,
G3137,"284979.4599999979,714930.7600000018;284979.4599999979,714935.7600000018;284984.4599999979,714935.7600000018;284984.4599999979,714930.7600000018;284979.4599999979,714930.7600000018","POLYGON ((284979.4599999979 714930.7600000018, 284979.4599999979 714935.7600000018, 284984.4599999979 714935.7600000018, 284984.4599999979 714930.7600000018, 284979.4599999979 714930.7600000018))",284981.9599999979,714933.2600000018,,,,,,,,,,,,,,
G3138,"284979.4599999979,714935.7600000018;284979.4599999979,714940.7600000018;284984.4599999979,714940.7600000018;284984.4599999979,714935.7600000018;284979.4599999979,714935.7600000018","POLYGON ((284979.4599999979 714935.7600000018, 284979.4599999979 714940.7600000018, 284984.4599999979 714940.7600000018, 284984.4599999979 714935.7600000018, 284979.4599999979 714935.7600000018))",284981.9599999979,714938.2600000018,,,,,,,,,,,,,,
G3139,"284979.4599999979,714940.7600000018;284979.4599999979,714945.7600000018;284984.4599999979,714945.7600000018;284984.4599999979,714940.7600000018;284979.4599999979,714940.7600000018","POLYGON ((284979.4599999979 714940.7600000018, 284979.4599999979 714945.7600000018, 284984.4599999979 714945.7600000018, 284984.4599999979 714940.7600000018, 284979.4599999979 714940.7600000018))",284981.9599999979,714943.2600000018,,,,,,,,,,,,,,
G3140,"284979.4599999979,714945.7600000018;284979.4599999979,714950.7600000018;284984.4599999979,714950.7600000018;284984.4599999979,714945.7600000018;284979.4599999979,714945.7600000018","POLYGON ((284979.4599999979 714945.7600000018, 284979.4599999979 714950.7600000018, 284984.4599999979 714950.7600000018, 284984.4599999979 714945.7600000018, 284979.4599999979 714945.7600000018))",284981.9599999979,714948.2600000018,,,,,,,,,,,,,,
G3141,"284979.4599999979,714950.7600000018;284979.4599999979,714955.7600000018;284984.4599999979,714955.7600000018;284984.4599999979,714950.7600000018;284979.4599999979,714950.7600000018","POLYGON ((284979.4599999979 714950.7600000018, 284979.4599999979 714955.7600000018, 284984.4599999979 714955.7600000018, 284984.4599999979 714950.7600000018, 284979.4599999979 714950.7600000018))",284981.9599999979,714953.2600000018,,,,,,,,,,,,,,
G3142,"284979.4599999979,714955.7600000018;284979.4599999979,714960.7600000018;284984.4599999979,714960.7600000018;284984.4599999979,714955.7600000018;284979.4599999979,714955.7600000018","POLYGON ((284979.4599999979 714955.7600000018, 284979.4599999979 714960.7600000018, 284984.4599999979 714960.7600000018, 284984.4599999979 714955.7600000018, 284979.4599999979 714955.7600000018))",284981.9599999979,714958.2600000018,,,,,,,,,,,,,,
G3143,"284979.4599999979,714960.7600000018;284979.4599999979,714965.7600000018;284984.4599999979,714965.7600000018;284984.4599999979,714960.7600000018;284979.4599999979,714960.7600000018","POLYGON ((284979.4599999979 714960.7600000018, 284979.4599999979 714965.7600000018, 284984.4599999979 714965.7600000018, 284984.4599999979 714960.7600000018, 284979.4599999979 714960.7600000018))",284981.9599999979,714963.2600000018,,,,,,,,,,,,,,
G3144,"284979.4599999979,714965.7600000018;284979.4599999979,714970.7600000018;284984.4599999979,714970.7600000018;284984.4599999979,714965.7600000018;284979.4599999979,714965.7600000018","POLYGON ((284979.4599999979 714965.7600000018, 284979.4599999979 714970.7600000018, 284984.4599999979 714970.7600000018, 284984.4599999979 714965.7600000018, 284979.4599999979 714965.7600000018))",284981.9599999979,714968.2600000018,,,,,,,,,,,,,,
G3145,"284979.4599999979,714970.7600000018;284979.4599999979,714975.7600000018;284984.4599999979,714975.7600000018;284984.4599999979,714970.7600000018;284979.4599999979,714970.7600000018","POLYGON ((284979.4599999979 714970.7600000018, 284979.4599999979 714975.7600000018, 284984.4599999979 714975.7600000018, 284984.4599999979 714970.7600000018, 284979.4599999979 714970.7600000018))",284981.9599999979,714973.2600000018,,,,,,,,,,,,,,
G3146,"284979.4599999979,714975.7600000018;284979.4599999979,714980.7600000018;284984.4599999979,714980.7600000018;284984.4599999979,714975.7600000018;284979.4599999979,714975.7600000018","POLYGON ((284979.4599999979 714975.7600000018, 284979.4599999979 714980.7600000018, 284984.4599999979 714980.7600000018, 284984.4599999979 714975.7600000018, 284979.4599999979 714975.7600000018))",284981.9599999979,714978.2600000018,,,,,,,,,,,,,,
G3147,"284979.4599999979,714980.7600000018;284979.4599999979,714985.7600000018;284984.4599999979,714985.7600000018;284984.4599999979,714980.7600000018;284979.4599999979,714980.7600000018","POLYGON ((284979.4599999979 714980.7600000018, 284979.4599999979 714985.7600000018, 284984.4599999979 714985.7600000018, 284984.4599999979 714980.7600000018, 284979.4599999979 714980.7600000018))",284981.9599999979,714983.2600000018,,,,,,,,,,,,,,
G3148,"284979.4599999979,714985.7600000018;284979.4599999979,714990.7600000018;284984.4599999979,714990.7600000018;284984.4599999979,714985.7600000018;284979.4599999979,714985.7600000018","POLYGON ((284979.4599999979 714985.7600000018, 284979.4599999979 714990.7600000018, 284984.4599999979 714990.7600000018, 284984.4599999979 714985.7600000018, 284979.4599999979 714985.7600000018))",284981.9599999979,714988.2600000018,,,,,,,,,,,,,,
